episode_number,success_episode,failure_episode,episode_reward,episode_step
378,False,True,-146,23
379,False,True,-167,14
380,False,True,-137,24
381,False,True,-108,37
382,False,True,-105,40
383,False,True,-104,41
384,False,True,-117,28
385,False,True,-160,13
386,False,True,-84,61
387,False,True,-158,19
388,False,True,-140,29
389,False,True,-168,17
390,False,True,-128,33
391,False,True,-165,12
392,False,True,-168,17
393,False,True,-175,14
394,False,True,-72,57
395,False,True,-112,41
396,False,True,-136,29
397,False,True,-115,38
398,False,True,-143,22
399,False,True,-154,15
400,False,True,-145,24
401,False,True,-90,59
402,False,True,-88,53
403,False,True,-124,37
404,False,True,-113,32
405,False,True,-175,14
406,False,True,-166,15
407,False,True,-123,34
408,False,True,-106,39
409,False,True,-155,22
410,False,True,-125,32
411,False,True,-104,37
412,False,True,-168,13
413,False,True,-99,42
414,False,True,-178,11
415,False,True,-96,49
416,False,True,-155,18
417,False,True,-146,19
418,False,True,-169,12
419,False,True,-152,21
420,False,True,-171,18
421,False,True,-148,17
422,False,True,-163,22
423,False,True,-165,16
424,False,True,-140,25
425,False,True,-125,44
426,False,True,-180,9
427,False,True,-181,8
428,False,True,-139,22
429,False,True,-117,28
430,False,True,-167,22
431,False,True,-172,17
432,False,True,-134,27
433,False,True,-160,17
434,False,True,-105,44
435,False,True,-148,21
436,False,True,-166,11
437,False,True,-166,19
438,False,True,-155,22
439,False,True,-139,26
440,False,True,-122,35
441,False,True,-159,18
442,False,True,-169,12
443,False,True,-96,45
444,False,True,-132,25
445,False,True,-137,28
446,False,True,-97,48
447,False,True,-165,20
448,False,True,-108,37
449,False,True,-118,31
450,False,True,-128,33
451,False,True,-173,12
452,False,True,-142,31
453,False,True,-150,23
454,False,True,-127,30
455,False,True,-164,9
456,False,True,-142,31
457,False,True,-134,31
458,False,True,-95,50
459,False,True,-128,37
460,False,True,-159,18
461,False,True,-161,20
462,False,True,-138,31
463,False,True,-93,52
464,False,True,-146,19
465,False,True,-143,22
466,False,True,-118,27
467,False,True,-116,29
468,False,True,-92,45
469,False,True,-161,16
470,False,True,-160,17
471,False,True,-161,16
472,False,True,-139,30
473,False,True,-102,39
474,False,True,-171,14
475,False,True,-110,35
476,False,True,-125,32
477,False,True,-170,11
478,False,True,-138,27
479,False,True,-146,23
480,False,True,-133,28
481,False,True,-81,68
482,False,True,-128,33
483,False,True,-147,26
484,False,True,-65,76
485,False,True,-136,33
486,False,True,-169,20
487,False,True,-171,10
488,False,True,-159,18
489,False,True,-83,54
490,False,True,-122,31
491,False,True,-118,35
492,False,True,-159,18
493,False,True,-158,19
494,False,True,-166,15
495,False,True,-128,29
496,False,True,-168,17
497,False,True,-130,31
498,False,True,-148,21
499,False,True,-172,17
500,False,True,-123,42
501,False,True,-93,48
502,False,True,-169,12
503,False,True,-181,8
504,False,True,-145,20
505,False,True,-136,29
506,False,True,-128,29
507,False,True,-153,12
508,False,True,-139,26
509,False,True,-102,47
510,False,True,-117,28
511,False,True,-140,25
512,False,True,-151,18
513,False,True,-153,20
514,False,True,-106,35
515,False,True,-123,26
516,False,True,-140,25
517,False,True,-152,13
518,False,True,-175,14
519,False,True,-151,18
520,False,True,-124,41
521,False,True,-142,23
522,False,True,-138,27
523,False,True,-159,14
524,False,True,-111,46
525,False,True,-137,28
526,False,True,-157,16
527,False,True,-168,13
528,False,True,-173,8
529,False,True,-134,27
530,False,True,-90,55
531,False,True,-161,28
532,False,True,-131,34
533,False,True,-158,15
534,False,True,-89,48
535,False,True,-164,17
536,False,True,-135,26
537,False,True,-113,44
538,False,True,-162,15
539,False,True,-169,16
540,False,True,-145,20
541,False,True,-152,25
542,False,True,-139,22
543,False,True,-111,34
544,False,True,-129,24
545,False,True,-177,12
546,False,True,-139,30
547,False,True,-146,31
548,False,True,-151,14
549,False,True,-148,21
550,False,True,-125,36
551,False,True,-128,37
552,False,True,-75,58
553,False,True,-129,32
554,False,True,-93,52
555,False,True,-162,19
556,False,True,-161,12
557,False,True,-150,23
558,False,True,-163,18
559,False,True,-119,38
560,False,True,-123,34
561,False,True,-121,40
562,False,True,-154,27
563,False,True,-147,22
564,False,True,-171,14
565,False,True,-173,12
566,False,True,-108,37
567,False,True,-148,25
568,False,True,-175,10
569,False,True,-112,41
570,False,True,-165,16
571,False,True,-164,21
572,False,True,-147,18
573,False,True,-92,53
574,False,True,-92,49
575,False,True,-154,15
576,False,True,-133,28
577,False,True,-168,13
578,False,True,-172,13
579,False,True,-125,36
580,False,True,-173,12
581,False,True,-140,21
582,False,True,-127,34
583,False,True,-120,45
