episode_number,success_episode,failure_episode,episode_reward,episode_step
881,False,True,222,59
882,True,False,1036,119
883,True,False,1273,159
884,True,False,1276,158
885,True,False,1132,134
886,True,False,1301,161
887,True,False,933,102
888,True,False,958,107
889,True,False,1248,154
890,True,False,1244,152
891,True,False,1208,145
892,False,True,355,80
893,True,False,1090,129
894,True,False,1050,123
895,False,True,385,86
896,True,False,1329,167
897,True,False,1151,139
898,True,False,1131,134
899,True,False,1294,161
900,True,False,1246,153
901,True,False,1273,158
902,False,True,485,104
903,True,False,1111,132
904,False,True,294,72
905,False,True,500,106
906,False,True,591,120
907,True,False,1362,173
908,True,False,1119,133
909,False,True,522,106
910,False,True,567,114
911,False,True,499,106
912,True,False,1377,177
913,True,False,1249,153
914,False,True,618,123
915,True,False,1241,153
916,False,True,516,108
917,True,False,1341,169
918,True,False,1327,167
919,True,False,1117,133
920,True,False,1013,115
921,True,False,1221,148
922,True,False,1086,128
923,True,False,1147,138
924,True,False,1022,117
925,False,True,328,76
926,True,False,1108,130
927,True,False,1161,140
928,True,False,1107,130
929,True,False,755,75
930,True,False,810,83
931,False,True,234,64
932,True,False,870,93
933,True,False,1193,143
934,True,False,1053,121
935,True,False,1292,160
936,True,False,1058,122
937,True,False,1256,154
938,True,False,1259,156
939,False,True,456,99
940,False,True,598,120
941,True,False,1322,166
942,False,True,641,128
943,False,True,470,100
944,True,False,1023,116
945,True,False,1235,153
946,True,False,1268,157
947,False,True,422,94
948,True,False,1220,150
949,True,False,1006,114
950,True,False,850,87
951,True,False,1059,124
952,False,True,558,114
953,True,False,1343,170
954,True,False,1187,144
955,True,False,1356,172
956,True,False,1015,114
957,True,False,1107,129
958,True,False,1197,145
959,False,True,538,110
960,True,False,1008,115
961,True,False,1020,117
962,False,True,429,92
963,True,False,994,110
964,True,False,1033,118
965,True,False,1219,148
966,False,True,596,121
967,True,False,856,88
968,True,False,1011,114
969,True,False,1144,138
970,True,False,1154,137
971,True,False,1197,146
972,False,True,346,81
973,True,False,1351,170
974,False,True,414,92
975,True,False,1199,144
976,False,True,435,94
977,False,True,470,99
978,True,False,1242,153
979,True,False,1264,157
980,False,True,673,125
981,False,True,597,119
982,False,True,461,98
983,True,False,1315,165
984,False,True,564,116
985,True,False,1116,132
986,True,False,1075,123
987,True,False,1068,124
988,True,False,967,108
989,True,False,979,109
990,True,False,1001,111
991,True,False,950,105
992,False,True,534,112
993,False,True,528,109
994,False,True,636,128
995,True,False,1163,139
996,False,True,442,95
997,False,True,540,112
998,True,False,1164,139
999,False,True,395,88
1000,True,False,1013,114
1001,False,True,575,116
1002,False,True,542,113
1003,False,True,164,50
1004,True,False,776,75
1005,True,False,1130,134
1006,True,False,1326,200
1007,True,False,1323,165
1008,True,False,1206,147
1009,False,True,384,84
1010,False,True,289,70
1011,False,True,1330,200
1012,False,True,1330,200
1013,False,True,1335,200
1014,True,False,1126,134
1015,True,False,961,107
1016,True,False,1214,149
1017,True,False,1257,155
1018,True,False,1172,141
1019,True,False,1265,155
1020,True,False,1359,171
1021,True,False,1099,128
1022,True,False,1032,117
1023,True,False,1111,129
1024,True,False,1147,137
1025,True,False,1190,143
1026,True,False,1143,136
1027,True,False,1160,138
1028,True,False,962,106
1029,True,False,880,92
1030,True,False,1223,148
1031,True,False,1411,177
1032,True,False,926,102
1033,True,False,1337,200
1034,True,False,1405,178
1035,True,False,1322,165
1036,False,True,468,97
1037,False,True,400,85
1038,False,True,1348,200
1039,True,False,1065,123
1040,True,False,997,112
1041,False,True,690,134
1042,False,True,507,105
1043,False,True,526,105
1044,True,False,1248,152
1045,True,False,1224,148
1046,False,True,203,55
1047,True,False,1539,200
1048,True,False,1283,158
1049,True,False,1193,144
1050,True,False,1487,191
1051,True,False,1533,197
1052,False,True,506,104
1053,False,True,994,178
1054,False,True,469,100
1055,True,False,1316,162
1056,True,False,1151,136
1057,True,False,946,103
1058,True,False,1234,149
1059,True,False,889,96
1060,True,False,1042,118
1061,True,False,1433,183
1062,True,False,994,110
1063,True,False,1472,190
1064,False,True,540,110
1065,True,False,1321,164
1066,True,False,1196,144
1067,True,False,1233,151
1068,True,False,1270,155
1069,True,False,1359,169
1070,True,False,1090,127
1071,True,False,936,102
1072,True,False,909,97
1073,True,False,1315,166
1074,False,True,485,102
1075,True,False,1093,128
1076,True,False,858,89
1077,True,False,1125,132
1078,True,False,1257,155
1079,True,False,1337,168
